Searching levels:
1 : 18 new models, 3 kept; 4 total kept
2 : 48 new models, 3 kept; 7 total kept
3 : 48 new models, 3 kept; 10 total kept
4 : 52 new models, 3 kept; 13 total kept
5 : 57 new models, 3 kept; 16 total kept
6 : 63 new models, 3 kept; 19 total kept
7 : 63 new models, 3 kept; 22 total kept

  ID   MODEL                  	level	H	ddf	dLR	Alpha	%dH(DV)	daic	dbic	Inc.Alpha	%C(Data)
  22   IV:ApSxZ:EdZ:AgZ:CZ:KZ 	       7	      9.5505	      12	    103.4945	      0.0000	 17.6304	 79.4945	 30.8977	      0.1056	     71.6981
  21   IV:ApSxZ:EdZ:CZ:KZ:LZ  	       7	      9.5515	      12	    102.9089	      0.0000	 17.5306	 78.9089	 30.3121	      0.1415	     73.3491
  20   IV:ApSxZ:EdZ:CZ:EZ:KZ  	       7	      9.5517	      12	    102.8195	      0.0000	 17.5154	 78.8195	 30.2227	      0.1480	     72.6415
  19   IV:ApZ:EdZ:AgZ:CZ:KZ   	       5	      9.5576	      10	     99.3472	      0.0000	 16.9239	 79.3472	 38.8499	      0.0742	     71.6981
  18   IV:ApSxZ:EdZ:CZ:KZ     	       6	      9.5582	      10	     98.9984	      0.0000	 16.8644	 78.9984	 38.5011	      0.0035	     70.2830
  17   IV:ApZ:SxZ:EdZ:CZ:KZ   	       5	      9.5661	       9	     94.3476	      0.0000	 16.0722	 76.3476	 39.9000	      0.6516	     70.2830
  16*  IV:ApZ:EdZ:CZ:KZ       	       4	      9.5665	       8	     94.1440	      0.0000	 16.0375	 78.1440	 45.7461	      0.0026	     70.0472
  15   IV:ApSxZ:EdZ:AgZ:CZ    	       6	      9.5709	       9	     91.5564	      0.0000	 15.5967	 73.5564	 37.1088	      0.0450	     68.8679
  14   IV:ApSxZ:EdZ:CZ:EZ     	       6	      9.5717	       9	     91.0773	      0.0000	 15.5151	 73.0773	 36.6297	      0.0572	     70.0472
  13*  IV:ApZ:EdZ:AgZ:CZ      	       4	      9.5791	       7	     86.7343	      0.0000	 14.7752	 72.7343	 44.3862	      0.0318	     70.2830
  12   IV:ApSxZ:EdZ:CZ        	       5	      9.5814	       7	     85.3534	      0.0000	 14.5400	 71.3534	 43.0053	      0.0218	     70.0472
  11*  IV:ApZ:EdZ:KZ          	       3	      9.5870	       6	     82.0689	      0.0000	 13.9805	 70.0689	 45.7705	      0.0015	     69.8113
  10   IV:ApZ:SxZ:EdZ:CZ      	       4	      9.5903	       6	     80.1082	      0.0000	 13.6465	 68.1082	 43.8098	      0.6024	     69.5755
   9*  IV:ApZ:EdZ:CZ          	       3	      9.5908	       5	     79.8373	      0.0000	 13.6003	 69.8373	 49.5886	      0.0013	     69.5755
   8*  IV:ApZ:CZ:KZ           	       3	      9.5910	       6	     79.7227	      0.0000	 13.5808	 67.7227	 43.4243	      0.0033	     68.6321
   7*  IV:ApZ:EdZ             	       2	      9.6133	       3	     66.5901	      0.0000	 11.3437	 60.5901	 48.4409	      0.0004	     69.5755
   6*  IV:ApZ:CZ              	       2	      9.6144	       3	     65.9506	      0.0000	 11.2347	 59.9506	 47.8014	      0.0006	     67.9245
   5*  IV:ApZ:KZ              	       2	      9.6150	       4	     65.6244	      0.0000	 11.1792	 57.6244	 41.4255	      0.0024	     66.9811
   4*  IV:ApZ                 	       1	      9.6396	       1	     51.1652	      0.0000	  8.7160	 49.1652	 45.1155	      0.0000	     66.9811
   3*  IV:CZ                  	       1	      9.6998	       2	     15.7735	      0.0004	  2.6870	 11.7735	  3.6740	      0.0004	     58.0189
   2*  IV:EdZ                 	       1	      9.7009	       2	     15.1356	      0.0005	  2.5784	 11.1356	  3.0361	      0.0005	     56.3679
   1*  IV:Z                   	       0	      9.7266	       0	      0.0000	      1.0000	  0.0000	  0.0000	  0.0000	      0.0000	     52.1226
  ID   MODEL                  	level	H	ddf	dLR	Alpha	%dH(DV)	daic	dbic	Inc.Alpha	%C(Data)


Best Model(s) by dBIC:
   9*  IV:ApZ:EdZ:CZ          	       3	      9.5908	       5	     79.8373	      0.0000	 13.6003	 69.8373	 49.5886	      0.0013	     69.5755
Best Model(s) by dAIC:
  22   IV:ApSxZ:EdZ:AgZ:CZ:KZ 	       7	      9.5505	      12	    103.4945	      0.0000	 17.6304	 79.4945	 30.8977	      0.1056	     71.6981
Best Model(s) by Information, with all Inc. Alpha < 0.05:
  16*  IV:ApZ:EdZ:CZ:KZ       	       4	      9.5665	       8	     94.1440	      0.0000	 16.0375	 78.1440	 45.7461	      0.0026	     70.0472


