Fold,Signature,Method,Accuracy,F1,Precision,Recall
1,ALL,Logistic Regression,0.604251012145749,0.6038090159016671,0.6047183130477018,0.604251012145749
1,ALL,Random Forest,0.611336032388664,0.6104916901772846,0.6123098544973545,0.611336032388664
1,ALL,Gradient Boosting,0.6194331983805668,0.6191272965879265,0.6198181309917288,0.6194331983805668
1,ALL,Decision Tree,0.6163967611336032,0.6162548435461573,0.6165692007797271,0.6163967611336032
2,ALL,Logistic Regression,0.5981781376518218,0.5979965214824593,0.5983558775836942,0.5981781376518218
2,ALL,Random Forest,0.5941295546558705,0.592774143150083,0.5953996685867593,0.5941295546558705
2,ALL,Gradient Boosting,0.5961538461538461,0.5955236024596177,0.5967569016349504,0.5961538461538461
2,ALL,Decision Tree,0.5910931174089069,0.5895794946038431,0.5924570363839027,0.5910931174089069
3,ALL,Logistic Regression,0.5673758865248227,0.566371631818665,0.5679505848772619,0.5673758865248227
3,ALL,Random Forest,0.5845997973657548,0.5835943914699074,0.5853666132713374,0.5845997973657548
3,ALL,Gradient Boosting,0.6038500506585613,0.6027686018511894,0.6049294319448527,0.6038500506585613
3,ALL,Decision Tree,0.5997973657548126,0.5989451288367768,0.6005969827140581,0.5997973657548126
4,ALL,Logistic Regression,0.5997973657548126,0.5996716147306979,0.5999019543696232,0.5997973657548126
4,ALL,Random Forest,0.6139817629179332,0.6122741984317053,0.6159421534501883,0.6139817629179332
4,ALL,Gradient Boosting,0.6220871327254306,0.6217018976737823,0.6225467001758795,0.6220871327254306
4,ALL,Decision Tree,0.6139817629179332,0.6139770077933839,0.6139835976344389,0.6139817629179332
5,ALL,Logistic Regression,0.6028368794326241,0.6019150307968779,0.6038583563732937,0.6028368794326241
5,ALL,Random Forest,0.585612968591692,0.5849816271739766,0.5861843057491753,0.585612968591692
5,ALL,Gradient Boosting,0.6261398176291794,0.6257341264397024,0.6267317485217146,0.6261398176291794
5,ALL,Decision Tree,0.601823708206687,0.6006941010050045,0.603055401361958,0.601823708206687
