:nominal
FOD_ID, 7405,0,fo
FIRE_YEAR, 6,0,fi
FIRE_SIZE, 1417,0,a
FIRE_SIZE_, 7,0,FS
in_d_l0, 8,1,I0,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
mid_d_l0, 8,1,M0,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
out_d_l0, 8,1,O0,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
in_d_l1, 8,1,I1,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
mid_d_l1, 8,1,M1,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
out_d_l1, 8,1,O1,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
in_d_l2, 8,1,I2,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
mid_d_l2, 8,1,M2,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
out_d_l2, 8,1,O2,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
in_d_l3, 8,1,I3,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
mid_d_l3, 8,1,M3,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
out_d_l3, 8,1,O3,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
in_d_l4, 8,1,I4,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
mid_d_l4, 8,1,M4,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
out_d_l4, 8,1,O4,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
in_d_l5, 8,1,I5,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
mid_d_l5, 8,1,M5,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
out_d_l5, 8,1,O5,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
in_d_l6, 8,1,I6,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
mid_d_l6, 8,1,M6,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
out_d_l6, 8,1,O6,[99(11,12,21,22,23,24,31,90,95);41(41);42(42);43(43);52(52);71(71);81(81);82(82)]
PYROME, 19,0,p
Pyrome_cln, 19,0,Pyro
pyrome_sig, 5,0,PyroSig
Season, 4,0,Seas
elev_bin, 6,1,Elev
LARGE_FIRE, 2,2,Z
:no-frequency
:data
400009859	2017	0.50	B	42	42	52	42	42	52	42	52	52	11	11	52	11	11	52	42	42	52	11	42	52	5	Columbia_Plateau	B	Summer	low	0
400128878	2017	0.10	A	21	81	81	22	81	81	22	81	81	22	81	81	21	81	81	22	81	81	22	81	81	5	Columbia_Plateau	B	Fall	mid	0
400029709	2017	6255.10	G	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	mid	1
300215499	2015	55.00	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	82	82	82	5	Columbia_Plateau	B	Summer	mid	1
300306504	2015	14.00	C	21	43	43	21	43	43	21	43	43	21	43	43	21	43	43	21	43	43	21	43	43	31	North_Central_California_Footh	B	Fall	low	1
400108154	2017	20.30	C	23	22	71	23	22	71	23	22	71	23	22	71	23	22	71	23	22	71	23	22	71	31	North_Central_California_Footh	B	Summer	low	1
400029815	2016	1.00	B	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	midlow	0
300217344	2015	5.00	B	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	low	0
400158233	2017	0.01	A	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	31	North_Central_California_Footh	B	Summer	low	0
400630097	2020	159.40	D	71	71	71	71	71	71	52	52	71	52	52	71	52	52	71	52	52	71	52	52	71	5	Columbia_Plateau	B	Summer	midlow	1
300215434	2015	350.00	E	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Fall	midlow	1
400629614	2020	22.50	C	71	71	71	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	31	North_Central_California_Footh	B	Summer	mid	1
400043079	2016	26.00	C	21	71	71	21	71	71	21	71	71	21	71	71	21	71	71	21	71	71	21	71	71	31	North_Central_California_Footh	B	Fall	low	1
300217343	2015	10.80	C	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	low	1
300217223	2015	0.30	B	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	5	Columbia_Plateau	B	Summer	mid	0
400601093	2020	0.10	A	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	31	North_Central_California_Footh	B	Spring	low	0
300306787	2015	2.00	B	22	42	42	22	42	42	22	42	42	22	42	42	22	42	42	22	42	42	22	42	42	31	North_Central_California_Footh	B	Summer	midlow	0
400313636	2018	0.50	B	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	low	0
400524558	2019	53.00	C	95	52	52	95	52	52	95	52	52	95	52	52	95	52	52	95	52	52	95	52	95	5	Columbia_Plateau	B	Spring	mid	1
400147602	2017	19.40	C	21	52	52	21	52	52	21	52	52	71	52	52	71	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Summer	midlow	1
