Fold,Signature,Method,Accuracy,F1
1,A,Logistic Regression,0.5463414634146342,0.5272723740689282
1,A,Random Forest,0.5821138211382114,0.5796059771510115
1,A,Gradient Boosting,0.5804878048780487,0.5790050362770383
1,A,Decision Tree,0.5821138211382114,0.5789271396466872
2,A,Logistic Regression,0.5544715447154471,0.5541108177476084
2,A,Random Forest,0.5560975609756098,0.5446502028886698
2,A,Gradient Boosting,0.5853658536585366,0.5848587311179341
2,A,Decision Tree,0.5447154471544715,0.5283626239002116
3,A,Logistic Regression,0.5472312703583062,0.5286209791445741
3,A,Random Forest,0.5618892508143323,0.5618601961424089
3,A,Gradient Boosting,0.5879478827361564,0.5877018135684541
3,A,Decision Tree,0.5846905537459284,0.5824477092895184
1,B,Logistic Regression,0.5914489311163895,0.5914212689965319
1,B,Random Forest,0.6152019002375297,0.6145364756109231
1,B,Gradient Boosting,0.6223277909738717,0.6194686055328372
1,B,Decision Tree,0.5866983372921615,0.5856183295536377
2,B,Logistic Regression,0.5510688836104513,0.5483786138923913
2,B,Random Forest,0.6057007125890737,0.6054558338536671
2,B,Gradient Boosting,0.6270783847980997,0.6252385301685713
2,B,Decision Tree,0.6603325415676959,0.6569992992429445
3,B,Logistic Regression,0.5452380952380952,0.5424131971182641
3,B,Random Forest,0.6642857142857143,0.6642381289865343
3,B,Gradient Boosting,0.6523809523809524,0.6500878774736937
3,B,Decision Tree,0.6452380952380953,0.6446559272277144
1,C,Logistic Regression,0.6363636363636364,0.631606488749346
1,C,Random Forest,0.5909090909090909,0.5875
1,C,Gradient Boosting,0.5909090909090909,0.5855572998430141
1,C,Decision Tree,0.6704545454545454,0.6700711053652231
2,C,Logistic Regression,0.7386363636363636,0.7285043594902749
2,C,Random Forest,0.6704545454545454,0.6700711053652231
2,C,Gradient Boosting,0.6590909090909091,0.6590909090909091
2,C,Decision Tree,0.6477272727272727,0.647317388493859
3,C,Logistic Regression,0.6931818181818182,0.6921881072677808
3,C,Random Forest,0.5681818181818182,0.5645833333333333
3,C,Gradient Boosting,0.5909090909090909,0.5900621118012421
3,C,Decision Tree,0.5681818181818182,0.5672877846790889
1,D,Logistic Regression,0.5964912280701754,0.5903124999999999
1,D,Random Forest,0.5175438596491229,0.5065711812386874
1,D,Gradient Boosting,0.5614035087719298,0.5580024813895781
1,D,Decision Tree,0.5701754385964912,0.5674796747967479
2,D,Logistic Regression,0.5350877192982456,0.5307184466019418
2,D,Random Forest,0.5087719298245614,0.5049627791563275
2,D,Gradient Boosting,0.49122807017543857,0.4906009244992296
2,D,Decision Tree,0.5350877192982456,0.5187574671445639
3,D,Logistic Regression,0.5789473684210527,0.5768635941849676
3,D,Random Forest,0.5614035087719298,0.5601851851851852
3,D,Gradient Boosting,0.5087719298245614,0.5074074074074074
3,D,Decision Tree,0.5789473684210527,0.5768635941849676
1,E,Logistic Regression,0.5941320293398533,0.5870694646964529
1,E,Random Forest,0.5843520782396088,0.5786715163545437
1,E,Gradient Boosting,0.6136919315403423,0.6047593250661774
1,E,Decision Tree,0.5525672371638142,0.5404233201635895
2,E,Logistic Regression,0.5955882352941176,0.5947093068758542
2,E,Random Forest,0.6200980392156863,0.619986179130487
2,E,Gradient Boosting,0.6446078431372549,0.6370173576385266
2,E,Decision Tree,0.6078431372549019,0.6076923076923078
3,E,Logistic Regression,0.6323529411764706,0.6257979308826767
3,E,Random Forest,0.6299019607843137,0.6230520255263431
3,E,Gradient Boosting,0.6323529411764706,0.6262823644357597
3,E,Decision Tree,0.6127450980392157,0.6023391812865497
