site_id,elevation_m,slope_class,soil_type,vegetation,geology,drainage,risk
S-0001,704,flat,loam,grassland,sedimentary,moderate,0
S-0002,608,flat,clay,forest,intrusive,poor,0
S-0003,567,flat,organic,wetland,volcanic,moderate,0
S-0004,827,gentle,sand,grassland,intrusive,moderate,1
S-0005,831,moderate,organic,forest,sedimentary,poor,1
S-0006,94,steep,clay,bare,sedimentary,good,1
S-0007,683,moderate,clay,forest,volcanic,moderate,0
S-0008,153,steep,sand,bare,metamorphic,moderate,1
S-0009,264,moderate,loam,wetland,sedimentary,moderate,0
S-0010,705,gentle,loam,forest,metamorphic,poor,0
S-0011,460,moderate,rocky,shrub,sedimentary,good,0
S-0012,708,steep,loam,grassland,volcanic,moderate,0
S-0013,601,moderate,organic,wetland,intrusive,good,0
S-0014,143,flat,loam,shrub,sedimentary,excessive,0
S-0015,444,steep,sand,wetland,intrusive,poor,0
S-0016,818,moderate,sand,forest,metamorphic,excessive,1
S-0017,53,moderate,clay,wetland,volcanic,good,1
S-0018,432,gentle,sand,wetland,sedimentary,excessive,1
S-0019,421,moderate,loam,forest,volcanic,poor,1
S-0020,828,gentle,rocky,bare,volcanic,moderate,1
S-0021,671,steep,loam,wetland,volcanic,good,1
S-0022,579,steep,loam,shrub,sedimentary,poor,1
S-0023,652,gentle,clay,forest,volcanic,poor,0
S-0024,122,gentle,loam,bare,metamorphic,moderate,0
S-0025,634,steep,organic,bare,volcanic,moderate,1
S-0026,470,steep,clay,forest,sedimentary,excessive,1
S-0027,869,flat,loam,shrub,volcanic,excessive,0
S-0028,127,steep,rocky,forest,sedimentary,poor,0
S-0029,821,gentle,organic,bare,volcanic,excessive,1
S-0030,438,flat,organic,grassland,intrusive,good,0
S-0031,798,steep,sand,shrub,volcanic,moderate,1
S-0032,815,moderate,rocky,forest,sedimentary,excessive,1
S-0033,593,gentle,clay,wetland,sedimentary,moderate,0
S-0034,463,flat,rocky,wetland,volcanic,poor,0
S-0035,479,moderate,sand,shrub,metamorphic,moderate,0
S-0036,518,moderate,organic,forest,sedimentary,poor,1
S-0037,268,moderate,clay,grassland,volcanic,moderate,0
S-0038,770,moderate,sand,wetland,sedimentary,poor,0
S-0039,187,moderate,rocky,forest,sedimentary,moderate,0
S-0040,258,moderate,clay,grassland,intrusive,poor,0
S-0041,899,moderate,sand,forest,sedimentary,moderate,0
S-0042,614,steep,clay,forest,sedimentary,moderate,1
S-0043,428,gentle,clay,shrub,intrusive,good,0
S-0044,90,moderate,clay,shrub,volcanic,good,0
S-0045,466,gentle,loam,shrub,volcanic,excessive,1
S-0046,471,gentle,clay,shrub,metamorphic,excessive,0
S-0047,531,gentle,sand,bare,volcanic,good,1
S-0048,725,gentle,sand,grassland,intrusive,poor,0
S-0049,335,moderate,sand,wetland,intrusive,poor,1
S-0050,321,flat,organic,wetland,sedimentary,good,0
S-0051,371,steep,rocky,bare,sedimentary,moderate,1
S-0052,875,gentle,clay,bare,metamorphic,good,0
S-0053,729,flat,sand,wetland,metamorphic,excessive,0
S-0054,246,steep,rocky,shrub,intrusive,good,1
S-0055,50,moderate,organic,shrub,metamorphic,good,1
S-0056,534,gentle,rocky,grassland,sedimentary,good,1
S-0057,819,gentle,loam,shrub,metamorphic,moderate,0
S-0058,836,flat,rocky,bare,intrusive,moderate,0
S-0059,443,steep,loam,shrub,intrusive,poor,0
S-0060,847,steep,rocky,shrub,volcanic,excessive,1
S-0061,305,flat,organic,shrub,intrusive,good,0
S-0062,786,steep,organic,shrub,intrusive,excessive,1
S-0063,303,moderate,sand,shrub,intrusive,excessive,1
S-0064,377,flat,loam,shrub,volcanic,excessive,0
S-0065,773,gentle,organic,bare,sedimentary,good,1
S-0066,480,steep,organic,wetland,sedimentary,excessive,1
S-0067,410,moderate,rocky,bare,intrusive,moderate,0
