Option settings:
Data file	dementia05.txt
Starting model	bottom
Search direction	up
Ref model	bottom
Models to consider	full
Search width	3
Search levels	7
Search sort by	bic
Search preference	descending
Report sort by	information
Report preference	descending

Sample Size	424.0

ID	MODEL	Level	H	dDF	dLR	Alpha	Inf	%dH(DV)	dAIC	dBIC	Inc.Alpha	Prog.	%C(Data)	%cover
368	IV:HZ	1	9.725	2	-1.0	0.6187	0.00163607	0.1636	1.0	1.0	0.0	0	0.0	0.0
367	IV:MZ	1	9.7248	2	-1.0	0.5928	0.00178154	0.1782	1.0	1.0	0.0	0	0.0	0.0
366	IV:PZ	1	9.7244	3	-1.0	0.7269	0.00225893	0.2259	1.0	1.0	0.0	0	0.0	0.0
365	IV:GZ	1	9.7242	2	-1.0	0.4857	0.00246073	0.2461	1.0	1.0	0.0	0	0.0	0.0
364	IV:SxZ	1	9.7236	1	-1.0	0.1861	0.00298132	0.2981	1.0	1.0	0.0	0	0.0	0.0
363	IV:FZ	1	9.7232	2	-1.0	0.3611	0.00347013	0.347	1.0	1.0	0.0	0	0.0	0.0
362	IV:HZ:PZ	2	9.7227	5	-1.0	0.8087	0.00391161	0.3912	1.0	1.0	0.0	0	0.0	0.0
361	IV:MZ:PZ	2	9.7226	5	-1.0	0.8021	0.003989	0.3989	1.0	1.0	0.0	0	0.0	0.0
360	IV:GZ:PZ	2	9.7218	5	-1.0	0.7328	0.00477652	0.4777	1.0	1.0	0.0	0	0.0	0.0
359	IV:SxZ:PZ	2	9.7215	4	-1.0	0.5594	0.00512275	0.5123	1.0	1.0	0.0	0	0.0	0.0
358	IV:FZ:HZ	2	9.7214	4	-1.0	0.545	0.00526809	0.5268	1.0	1.0	0.0	0	0.0	0.0
357	IV:FZ:MZ	2	9.7212	4	-1.0	0.5261	0.00546334	0.5463	1.0	1.0	0.0	0	0.0	0.0
356	IV:FZ:PZ	2	9.7209	5	-1.0	0.65	0.00569446	0.5694	1.0	1.0	0.0	0	0.0	0.0
355	IV:FZ:GZ	2	9.7207	4	-1.0	0.4867	0.00588442	0.5884	1.0	1.0	0.0	0	0.0	0.0
354	IV:SxZ:FZ	2	9.7201	3	-1.0	0.2768	0.00656465	0.6565	1.0	1.0	0.0	0	0.0	0.0
353	IV:GZ:MZ:PZ	3	9.7201	7	-1.0	0.7974	0.006574	0.6574	1.0	1.0	0.0	0	0.0	0.0
