iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"El=2|Hb=3|Lc=2|Sl=2|Tc=3",0,95.53,72,97.2,0.0000,"IV:ElZ:HbZ:LcZ:SlZ:TcZ"
"El=2|Gl=2|Hb=3|Lc=2|Sl=2|Tc=3",0,96.15,63,98.4,0.0000,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TcZ"
"Cv=2|Hb=3|Lc=2|Sl=2|Tc=3",0,95.61,61,93.4,0.0000,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
"Cv=2|Hb=1|Lc=1|Tc=2",1,96.69,55,98.2,0.0000,"IV:CvZ:HbZ:LcZ:TcZ"
"Cv=2|El=2|Hb=3|Lc=2|Sl=2|Tc=3",0,96.20,48,95.8,0.0000,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"El=1|Hb=1|Lc=1|Sl=2|Tc=2",1,96.98,45,95.6,0.0000,"IV:ElZ:HbZ:LcZ:SlZ:TcZ"
"Hb=3|Lc=2|Sl=2|Tc=3|Tw=2",0,95.43,41,97.6,0.0000,"IV:HbZ:LcZ:SlZ:TwZ:TcZ"
"El=2|Hb=3|Lc=2|Sl=2|Tc=3|Tw=2",0,96.53,37,97.3,0.0000,"IV:ElTwZ:HbZ:LcZ:SlZ:TcZ"
"Cv=2|Hb=1|Lc=1|Sl=2|Tc=2",1,96.09,37,97.3,0.0000,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
"El=1|Hb=2|Lc=1|Sl=2|Tc=2",1,88.82,36,97.2,0.0000,"IV:ElZ:HbZ:LcZ:SlZ:TcZ"
"Cv=1|Hb=3|Lc=2|Tc=3",0,90.58,36,94.4,0.0000,"IV:CvZ:HbZ:LcZ:TcZ"
"El=1|Gl=1|Hb=1|Lc=1|Sl=2|Tc=2",1,97.27,35,94.3,0.0000,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TcZ"
"Hb=3|Lc=2|Sl=2|Tc=3|Tw=1",0,93.55,34,97.1,0.0000,"IV:HbZ:LcZ:SlZ:TwZ:TcZ"
"El=2|Gl=2|Hb=3|Lc=2|Sl=2|Tc=3|Tw=2",0,96.69,34,100.0,0.0000,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TwZ:TcZ"
"El=2|Gl=2|Hb=3|Lc=2|Sl=1|Tc=3",0,91.47,33,90.9,0.0000,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TcZ"
"Cv=2|El=1|Hb=1|Lc=1|Sl=2|Tc=2",1,96.48,31,96.8,0.0000,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"El=1|Gl=1|Hb=2|Lc=1|Sl=2|Tc=2",1,89.53,31,96.8,0.0000,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TcZ"
"Cv=1|Hb=1|Lc=1|Tc=2",1,98.07,31,96.8,0.0000,"IV:CvZ:HbZ:LcZ:TcZ"
"El=1|Hb=1|Lc=1|Sl=1|Tc=2",1,98.60,29,100.0,0.0000,"IV:ElZ:HbZ:LcZ:SlZ:TcZ"
"Cv=2|Hb=2|Lc=1|Tc=2",1,87.61,29,96.6,0.0000,"IV:CvZ:HbZ:LcZ:TcZ"
"El=2|Hb=3|Lc=2|Sl=2|Tc=3|Tw=1",0,94.25,26,96.2,0.0000,"IV:ElZ:HbZ:LcZ:SlZ:TwZ:TcZ"
"Hb=1|Lc=1|Sl=2|Tc=2|Tw=2",1,96.49,26,100.0,0.0000,"IV:HbZ:LcZ:SlZ:TwZ:TcZ"
"Cv=1|Hb=3|Lc=2|Sl=2|Tc=3",0,92.60,24,100.0,0.0000,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
"Cv=1|Hb=2|Lc=1|Tc=2",1,92.48,24,100.0,0.0000,"IV:CvZ:HbZ:LcZ:TcZ"
"Cv=1|Hb=3|Lc=1|Tc=2",1,86.98,24,95.8,0.0000,"IV:CvZ:HbZ:LcZ:TcZ"
"El=1|Hb=1|Lc=1|Sl=2|Tc=2|Tw=2",1,97.10,23,100.0,0.0000,"IV:ElTwZ:HbZ:LcZ:SlZ:TcZ"
"Cv=1|El=2|Hb=3|Lc=2|Sl=2|Tc=3",0,93.40,23,100.0,0.0000,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"Cv=2|El=1|Hb=2|Lc=1|Sl=2|Tc=2",1,86.73,23,95.7,0.0000,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"El=2|Gl=2|Hb=3|Lc=2|Sl=2|Tc=3|Tw=1",0,95.00,23,95.7,0.0000,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TwZ:TcZ"
"Cv=2|Hb=2|Lc=1|Sl=2|Tc=2",1,85.60,23,95.7,0.0000,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
"El=1|Gl=1|Hb=1|Lc=1|Sl=1|Tc=2",1,98.81,23,100.0,0.0000,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TcZ"
"Cv=2|Hb=3|Lc=3|Tc=3",0,96.27,23,95.7,0.0000,"IV:CvZ:HbZ:LcZ:TcZ"
"Hb=1|Lc=1|Sl=2|Tc=2|Tw=1",1,97.54,22,90.9,0.0000,"IV:HbZ:LcZ:SlZ:TwZ:TcZ"
"Hb=3|Lc=2|Sl=1|Tc=3|Tw=3",0,93.68,22,90.9,0.0000,"IV:HbZ:LcZ:SlZ:TwZ:TcZ"
"El=2|Hb=3|Lc=2|Sl=1|Tc=3|Tw=3",0,95.00,21,95.2,0.0000,"IV:ElTwZ:HbZ:LcZ:SlZ:TcZ"
"El=2|Gl=2|Hb=3|Lc=2|Sl=1|Tc=3|Tw=3",0,94.11,20,95.0,0.0000,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TwZ:TcZ"
