iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"El=1|Sl=2|Tb=9|Tt=1",1,87.28,114,90.4,0.0000,"IV:ElZ:SlZ:TbZ:TtZ"
"Cl=3|El=1|Tb=9|Tt=1",1,89.15,74,91.9,0.0000,"IV:ElTtZ:ClZ:TbZ"
"El=1|Sl=3|Tb=11",1,90.21,71,90.1,0.0000,"IV:ElZ:SlZ:TbZ"
"Cl=3|El=1|Tb=11|Tt=1",1,94.94,67,92.5,0.0000,"IV:ElTtZ:ClZ:TbZ"
"El=1|Tb=11|Tt=1",1,95.09,67,92.5,0.0000,"IV:ElTtZ:TbZ"
"El=1|Tg=22|Tt=1",1,91.28,67,92.5,0.0000,"IV:ElZ:TgZ:TtZ"
"El=1|Sl=3|Tb=35",1,89.42,64,90.6,0.0000,"IV:ElZ:SlZ:TbZ"
"Cl=1|El=1|Tb=35|Tt=10",1,86.70,63,93.7,0.0000,"IV:ElTtZ:ClZ:TbZ"
"Cl=4|El=1|Tb=35|Tt=9",1,89.50,61,91.8,0.0000,"IV:ElTtZ:ClZ:TbZ"
"El=1|Lc=9|Tb=9|Tt=1",1,89.96,61,96.7,0.0000,"IV:ElZ:LcZ:TbZ:TtZ"
"El=5|Tb=6|Tt=9",0,91.85,60,91.7,0.0000,"IV:ElTtZ:TbZ"
"El=1|Lc=9|Tb=35|Tt=10",1,91.94,57,91.2,0.0000,"IV:ElZ:LcZ:TbZ:TtZ"
"Cl=3|El=2|Tb=11|Tt=1",1,91.34,55,92.7,0.0000,"IV:ElTtZ:ClZ:TbZ"
"El=2|Tb=11|Tt=1",1,92.51,55,92.7,0.0000,"IV:ElZ:TbZ:TtZ"
"El=2|Tg=22|Tt=1",1,89.30,55,92.7,0.0000,"IV:ElZ:TgZ:TtZ"
"Cl=4|El=5|Tb=6|Tt=5",0,89.00,52,90.4,0.0000,"IV:ElTtZ:ClZ:TbZ"
"El=1|Sl=3|Tb=35|Tt=10",1,90.85,45,91.1,0.0000,"IV:ElZ:SlZ:TbZ:TtZ"
"El=1|Lc=9|Tb=35|Tt=9",1,89.66,43,90.7,0.0000,"IV:ElZ:LcZ:TbZ:TtZ"
"El=5|Tb=9|Tt=5",0,94.63,41,92.7,0.0000,"IV:ElTtZ:TbZ"
"El=1|Tg=24|Tt=10",0,100.00,41,100.0,0.0000,"IV:ElZ:TgZ:TtZ"
"El=5|Lc=8|Tb=9|Tt=12",0,86.49,40,90.0,0.0000,"IV:ElZ:LcZ:TbZ:TtZ"
"El=1|Sl=4|Tb=35",1,90.56,40,92.5,0.0000,"IV:ElZ:SlZ:TbZ"
"Cl=4|El=2|Tb=9|Tt=8",1,91.53,35,94.3,0.0000,"IV:ElTtZ:ClZ:TbZ"
"El=2|Tb=9|Tt=8",1,91.53,35,94.3,0.0000,"IV:ElTtZ:TbZ"
"El=1|Lc=8|Tb=11|Tt=1",1,94.31,35,97.1,0.0000,"IV:ElZ:LcZ:TbZ:TtZ"
"El=1|Sl=4|Tb=9|Tt=1",1,90.35,32,100.0,0.0000,"IV:ElZ:SlZ:TbZ:TtZ"
"El=1|Sl=1|Tb=11|Tt=1",1,92.72,31,90.3,0.0000,"IV:ElZ:SlZ:TbZ:TtZ"
"El=1|Sl=3|Tb=9|Tt=1",1,89.06,31,93.5,0.0010,"IV:ElZ:SlZ:TbZ:TtZ"
"El=2|Sl=3|Tb=35|Tt=10",1,87.10,31,96.8,0.0020,"IV:ElZ:SlZ:TbZ:TtZ"
"El=2|Lc=8|Tb=11|Tt=1",1,91.42,30,96.7,0.0000,"IV:ElZ:LcZ:TbZ:TtZ"
"El=5|Lc=8|Tb=9|Tt=5",0,87.70,30,93.3,0.0000,"IV:ElZ:LcZ:TbZ:TtZ"
"Cl=3|El=4|Tb=35|Tt=16",1,86.71,29,93.1,0.0030,"IV:ElTtZ:ClZ:TbZ"
"Cl=4|El=5|Tb=9|Tt=5",0,95.72,29,100.0,0.0000,"IV:ElTtZ:ClZ:TbZ"
"El=5|Lc=8|Tb=6|Tt=13",0,85.22,28,92.9,0.0000,"IV:ElZ:LcZ:TbZ:TtZ"
"Cl=3|El=1|Tb=30|Tt=10",0,100.00,27,100.0,0.0000,"IV:ElTtZ:ClZ:TbZ"
"El=1|Tb=30|Tt=10",0,100.00,27,100.0,0.0000,"IV:ElTtZ:TbZ"
"El=1|Sl=1|Tb=30|Tt=10",0,100.00,27,100.0,0.0000,"IV:ElZ:SlZ:TbZ:TtZ"
"El=1|Sl=1|Tb=30",0,100.00,27,100.0,0.0000,"IV:ElZ:SlZ:TbZ"
"El=1|Tb=30",0,100.00,27,100.0,0.0000,"IV:ElZ:TbZ"
"El=1|Tb=35|Tt=16",1,93.65,24,95.8,0.0010,"IV:ElTtZ:TbZ"
"El=1|Lc=9|Tb=11|Tt=16",1,89.77,24,100.0,0.0030,"IV:ElZ:LcZ:TbZ:TtZ"
"Cl=4|El=5|Tb=6|Tt=9",0,94.98,23,95.7,0.0000,"IV:ElTtZ:ClZ:TbZ"
"El=1|Sl=4|Tb=35|Tt=10",1,91.95,23,95.7,0.0020,"IV:ElZ:SlZ:TbZ:TtZ"
"El=1|Lc=9|Sl=2|Tb=9|Tt=1",1,91.44,22,95.5,0.0020,"IV:ElZ:SlZ:LcZ:TbZ:TtZ"
"El=1|Lc=9|Sl=3|Tb=35|Tt=10",1,93.83,22,90.9,0.0010,"IV:ElZ:SlZ:LcZ:TbZ:TtZ"
"El=2|Sl=2|Tb=11|Tt=1",1,93.20,22,90.9,0.0010,"IV:ElZ:SlZ:TbZ:TtZ"
"Cl=3|El=1|Tb=35|Tt=16",1,91.91,21,95.2,0.0030,"IV:ElTtZ:ClZ:TbZ"
"Cl=1|El=1|Tb=38|Tt=1",1,95.22,20,100.0,0.0010,"IV:ElTtZ:ClZ:TbZ"
"El=1|Tb=38|Tt=1",1,94.67,20,100.0,0.0010,"IV:ElTtZ:TbZ"
"El=1|Lc=9|Sl=2|Tb=35|Tt=9",1,90.14,20,90.0,0.0060,"IV:ElZ:SlZ:LcZ:TbZ:TtZ"
