iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"El=5|Ro=1|Tp=15|Tt=3",0,86.41,303,93.1,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"El=5|Tp=15|Tt=3",0,86.34,303,93.1,0.0000,"IV:ElZ:TpZ:TtZ"
"El=5|Ro=6|Tt=11",0,93.60,199,93.0,0.0000,"IV:ElZ:RoZ:TtZ"
"Dc=7|El=5|Ro=6|Tt=11",0,93.43,190,92.6,0.0000,"IV:ElZ:DcZ:RoZ:TtZ"
"Cl=1|El=5|Tt=11",0,92.94,189,91.5,0.0000,"IV:ElZ:ClZ:TtZ"
"El=5|Rd=1|Ro=6|Tt=11",0,93.60,176,93.2,0.0000,"IV:ElZ:RdZ:RoZ:TtZ"
"El=1|Tp=15",1,90.19,136,93.4,0.0000,"IV:ElZ:TpZ"
"Dc=7|El=5|Ro=6|Tt=7",0,85.23,127,92.1,0.0000,"IV:ElZ:DcZ:RoZ:TtZ"
"El=5|Ro=6|Tt=7",0,85.41,127,92.1,0.0000,"IV:ElZ:RoZ:TtZ"
"El=5|Tp=10|Tt=11",0,90.72,124,91.9,0.0000,"IV:ElZ:TpZ:TtZ"
"El=5|Rd=1|Ro=6|Tt=7",0,85.42,118,91.5,0.0000,"IV:ElZ:RdZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Ro=6|Tt=7",0,85.06,117,91.5,0.0000,"IV:ElZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=5|Tt=7",0,85.22,117,91.5,0.0000,"IV:ElZ:ClZ:TtZ"
"El=1|Tp=15|Tt=15",1,90.99,114,95.6,0.0000,"IV:ElZ:TpZ:TtZ"
"El=1|Ro=6|Tt=15",1,91.75,111,95.5,0.0000,"IV:ElZ:RoZ:TtZ"
"Cl=1|El=1|Tt=15",1,91.55,109,96.3,0.0000,"IV:ElZ:ClZ:TtZ"
"Cl=1|Dc=7|El=5|Rd=1|Ro=6|Tt=7",0,85.08,108,90.7,0.0000,"IV:ElZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=5|Rd=1|Ro=6|Tt=7",0,85.26,108,90.7,0.0000,"IV:ElZ:RdZ:ClZ:RoZ:TtZ"
"Cl=2|Dc=7|El=4|Rd=1|Ro=6|Tt=11",0,88.64,106,91.5,0.0000,"IV:ElZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=2|El=4|Rd=1|Ro=6|Tt=11",0,88.59,106,91.5,0.0000,"IV:ElZ:RdZ:ClZ:RoZ:TtZ"
"El=1|Ro=6|Tp=15",1,89.69,96,92.7,0.0000,"IV:ElZ:TpZ:RoZ"
"Cl=1|Dc=7|El=5|Ro=4|Tt=11",0,89.96,94,90.4,0.0000,"IV:ElZ:ClZ:DcZ:RoZ:TtZ"
"Dc=7|El=5|Ro=4|Tt=11",0,90.50,94,90.4,0.0000,"IV:ElZ:DcZ:RoZ:TtZ"
"El=5|Ro=4|Tt=11",0,90.69,94,90.4,0.0000,"IV:ElZ:RoZ:TtZ"
"Dc=7|El=1|Ro=6|Tt=15",1,91.98,93,95.7,0.0000,"IV:ElZ:DcZ:RoZ:TtZ"
"El=1|Ro=6|Tp=15|Tt=15",1,90.39,89,95.5,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Ro=6|Tt=11",0,92.77,86,91.9,0.0000,"IV:ElZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|Dc=7|El=1|Ro=6|Tt=15",1,91.03,84,96.4,0.0000,"IV:ElZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=5|Rd=1|Ro=6|Tt=11",0,93.01,82,93.9,0.0000,"IV:ElZ:RdZ:ClZ:RoZ:TtZ"
"Cl=2|El=5|Ro=6",0,97.23,80,95.0,0.0000,"IV:ElZ:ClZ:RoZ"
"El=5|Tp=12",0,96.80,79,94.9,0.0000,"IV:ElZ:TpZ"
"Dc=7|El=5|Fd=1|Ro=6|Tt=11",0,95.91,76,97.4,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"El=5|Fd=1|Ro=6|Tt=11",0,96.01,76,97.4,0.0000,"IV:ElZ:FdZ:RoZ:TtZ"
"Cl=2|Dc=7|El=5|Ro=6|Tt=11",0,97.31,75,94.7,0.0000,"IV:ElZ:ClZ:DcZ:RoZ:TtZ"
"El=5|Ro=6|Tp=12|Tt=11",0,97.54,75,94.7,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"El=5|Tp=12|Tt=11",0,97.55,75,94.7,0.0000,"IV:ElZ:TpZ:TtZ"
"Cl=2|El=5|Tt=11",0,97.38,75,94.7,0.0000,"IV:ElZ:ClZ:TtZ"
"El=5|Ro=6|Tp=12",0,97.22,75,94.7,0.0000,"IV:ElZ:TpZ:RoZ"
"Cl=1|Dc=7|El=5|Rd=1|Ro=6|Tt=11",0,92.76,73,93.2,0.0000,"IV:ElZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=3|El=1|Ro=6",1,88.97,72,91.7,0.0000,"IV:ElZ:ClZ:RoZ"
"El=5|Tp=5",0,92.73,71,95.8,0.0000,"IV:ElZ:TpZ"
"Cl=1|Dc=7|El=5|Rd=1|Ro=4|Tt=11",0,89.97,70,91.4,0.0000,"IV:ElZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=5|Rd=1|Ro=4|Tt=11",0,90.25,70,91.4,0.0000,"IV:ElZ:RdZ:ClZ:RoZ:TtZ"
"El=5|Rd=1|Ro=4|Tt=11",0,90.71,70,91.4,0.0000,"IV:ElZ:RdZ:RoZ:TtZ"
"Cl=2|Dc=7|El=5|Rd=1|Ro=6|Tt=11",0,97.31,69,94.2,0.0000,"IV:ElZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"El=5|Fd=1|Ro=1|Tt=3",0,90.01,69,98.6,0.0000,"IV:ElZ:FdZ:RoZ:TtZ"
"Cl=2|El=5|Rd=1|Ro=6|Tt=11",0,97.37,69,94.2,0.0000,"IV:ElZ:RdZ:ClZ:RoZ:TtZ"
"El=5|Ro=4|Tp=10|Tt=11",0,88.81,68,92.6,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"El=5|Tp=9",0,95.56,68,92.6,0.0000,"IV:ElZ:TpZ"
"Dc=7|El=5|Fd=1|Rd=1|Ro=6|Tt=11",0,95.88,66,98.5,0.0000,"IV:ElZ:FdZ:RdZ:DcZ:RoZ:TtZ"
"Dc=7|El=5|Fd=1|Ro=1|Tt=3",0,89.58,66,98.5,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"Dc=7|El=5|Fd=1|Rd=1|Ro=1|Tt=3",0,89.46,61,98.4,0.0000,"IV:ElZ:FdZ:RdZ:DcZ:RoZ:TtZ"
"El=5|Fd=6|Ro=6|Tt=11",0,92.09,60,91.7,0.0000,"IV:ElZ:FdZ:RoZ:TtZ"
"El=1|Rd=1|Ro=6|Tt=15",1,91.73,57,94.7,0.0000,"IV:ElZ:RdZ:RoZ:TtZ"
"El=5|Ro=6|Tp=10|Tt=11",0,90.82,56,91.1,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"El=5|Fd=5|Ro=1|Tp=15|Tt=3",0,86.27,54,94.4,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"El=5|Ro=6|Tp=15|Tt=7",0,90.39,54,98.1,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"El=5|Tp=15|Tt=7",0,90.43,54,98.1,0.0000,"IV:ElZ:TpZ:TtZ"
"El=1|Rd=2|Ro=6|Tt=15",1,91.71,54,96.3,0.0000,"IV:ElZ:RdZ:RoZ:TtZ"
"Dc=7|El=5|Fd=6|Ro=6|Tt=11",0,91.75,53,90.6,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
